configuration_index,similarities
456,0.8593503832817078
457,0.8579497337341309
458,0.8675488233566284
459,0.8555281162261963
460,0.8626889586448669
461,0.8668264746665955
462,0.8674827814102173
463,0.8743700981140137
464,0.8586731553077698
465,0.8558457493782043
466,0.8559190630912781
467,0.8620496988296509
468,0.8737632036209106
469,0.858441174030304
470,0.8622671365737915
471,0.8637936115264893
472,0.8646342754364014
473,0.8571157455444336
474,0.8640373945236206
475,0.8618519902229309
476,0.8721398711204529
477,0.8549789190292358
478,0.8636378049850464
479,0.8571493625640869
480,0.8778652548789978
481,0.8593350648880005
482,0.8618504405021667
483,0.8759777545928955
484,0.8597749471664429
485,0.8654825091362
486,0.8812677264213562
487,0.8551057577133179
488,0.8726338148117065
489,0.8666513562202454
490,0.8720611929893494
491,0.8622279763221741
492,0.8604854941368103
493,0.8695748448371887
494,0.8591489195823669
495,0.8773878216743469
496,0.8631830811500549
497,0.8575036525726318
498,0.8671334385871887
499,0.864933431148529
500,0.8690917491912842
501,0.8632976412773132
502,0.8677233457565308
503,0.8598850965499878
504,0.8695785403251648
505,0.8646228909492493
506,0.8702676296234131
507,0.8728633522987366
508,0.8523954153060913
509,0.8615359663963318
510,0.8675505518913269
511,0.8728305101394653
512,0.8619266748428345
513,0.8646249771118164
514,0.8702663779258728
515,0.870395302772522
516,0.8650041818618774
517,0.8634101152420044
518,0.8776143193244934
519,0.8554868698120117
520,0.8671140670776367
521,0.8676650524139404
522,0.8637613654136658
523,0.8683415055274963
524,0.8638921976089478
525,0.8701978921890259
526,0.8560042381286621
527,0.8675391674041748
528,0.8552842140197754
529,0.8646184206008911
530,0.877420961856842
531,0.8861282467842102
532,0.8601705431938171
533,0.862419068813324
534,0.8621101975440979
535,0.8613782525062561
536,0.8633158802986145
537,0.8648688197135925
538,0.8618288636207581
539,0.8611875176429749
540,0.8521356582641602
541,0.8843007683753967
542,0.8524443507194519
543,0.8551357388496399
544,0.8655098676681519
545,0.8724660873413086
546,0.869168758392334
547,0.8724968433380127
548,0.8808993101119995
549,0.8446764945983887
550,0.9999993443489075
551,0.8675193786621094
552,0.8605833053588867
553,0.8657719492912292
554,0.8870557546615601
555,0.8711085915565491
556,0.8611657619476318
557,0.867425799369812
558,0.871606171131134
559,0.8718498945236206
560,0.8678845763206482
561,0.8650863766670227
562,0.878471851348877
563,0.8608742952346802
564,0.8668658137321472
565,0.8585215210914612
566,0.864371120929718
567,0.8711225390434265
568,0.8569831252098083
569,0.871679961681366
570,0.8599063754081726
571,0.8630410432815552
572,0.8545953631401062
573,0.8601818084716797
574,0.8813550472259521
575,0.8661103248596191
576,0.8680990934371948
577,0.8673077821731567
578,0.8746549487113953
579,0.9999991655349731
580,0.856324315071106
581,0.8760064840316772
582,0.8529361486434937
583,0.8604698181152344
584,0.8636825084686279
585,0.8628647923469543
586,0.8660609126091003
587,0.8745152354240417
588,0.8598960638046265
589,0.8648220896720886
590,0.8762633204460144
591,0.8579543232917786
592,0.8651301860809326
593,0.8686389327049255
594,0.852630078792572
595,0.856428861618042
596,0.8662140369415283
597,0.9999990463256836
598,0.8630009889602661
599,0.8740779161453247
600,0.8628913164138794
601,0.862115204334259
602,0.8655252456665039
603,0.8551363945007324
604,0.8605596423149109
605,0.8601806163787842
606,0.8720076680183411
607,0.8733166456222534
608,0.8749246001243591
609,0.8758572936058044
610,0.8722489476203918
611,0.8555862903594971
612,0.8606266975402832
613,0.8726393580436707
614,0.8621857762336731
615,0.8589537739753723
616,0.8657031059265137
617,0.8693563938140869
618,0.8620702028274536
619,0.8597054481506348
620,0.8568282723426819
621,0.8659914135932922
622,0.8723661303520203
623,0.8609296083450317
624,0.8687808513641357
625,0.8803964257240295
626,0.8626638650894165
627,0.8523269295692444
628,0.8621054887771606
629,0.8637604117393494
630,0.8647011518478394
631,0.8706136345863342
632,0.8637132048606873
633,0.8621349334716797
634,0.8596351742744446
635,0.8670833110809326
636,0.8594486713409424
637,0.854686439037323
638,0.8578448295593262
639,0.8666408658027649
640,0.9999992251396179
641,0.8634219765663147
642,0.8655036091804504
643,0.8635652661323547
644,0.8670533299446106
645,0.85775226354599
646,0.8532482385635376
647,0.8609005808830261
648,0.8548030257225037
649,0.8691082000732422
650,0.8602221608161926
651,0.8583420515060425
652,0.8613551259040833
653,0.8599662184715271
654,0.8627116680145264
655,0.8648220300674438
656,0.8641803860664368
657,0.8720943331718445
658,0.858798623085022
659,0.8614294528961182
660,0.868415892124176
661,0.8559081554412842
662,0.8643929362297058
663,0.8599618673324585
664,0.8569947481155396
665,0.8833979964256287
666,0.8657058477401733
667,0.8717319369316101
668,0.854567289352417
669,0.8647828102111816
670,0.8727338910102844
671,0.85936439037323
672,0.8787410855293274
673,0.8623242378234863
674,0.8563583493232727
675,0.8522278666496277
676,0.8726787567138672
677,0.8664555549621582
678,0.8550140261650085
679,0.8569430708885193
680,0.8586367964744568
681,0.8639608025550842
682,0.8567876219749451
683,0.8714315295219421
684,0.8515874743461609
685,0.8798471689224243
686,0.8522854447364807
687,0.8637915849685669
688,0.8573935627937317
689,0.8605717420578003
690,0.86391282081604
691,0.8614065647125244
692,0.8656653761863708
693,0.8594289422035217
694,0.8453801870346069
695,0.881519615650177
696,0.8590325117111206
697,0.8469023704528809
698,0.8565817475318909
699,0.8565564751625061
700,0.8517557978630066
701,0.8538916707038879
702,0.8628457188606262
703,0.8665056824684143
704,0.8506415486335754
705,0.8569875359535217
706,0.8536003232002258
707,0.8512611389160156
708,0.8573233485221863
